"region","year","catch","species","species_fac","region_fac","era","annual_far_3","log_catch","log_catch_stnd","catch_stnd"
"GOA",1989,13562437,"Sockeye","Sockeye","GOA","1989-2021",0.326528825419697,16.4228145440929,0.160161688096633,0.0245577905537415
"GOA",1990,16603517,"Sockeye","Sockeye","GOA","1989-2021",0.410701417439879,16.6251250983559,0.802902924882448,0.83104947926778
"GOA",1991,16200707,"Sockeye","Sockeye","GOA","1989-2021",0.450123123780386,16.6005654412256,0.724876820626795,0.724224628513804
"GOA",1992,22613096,"Sockeye","Sockeye","GOA","1989-2021",0.44568612977615,16.9340397654417,1.7843257473708,2.42478444058758
"GOA",1993,19772002,"Sockeye","Sockeye","GOA","1989-2021",0.433323983476329,16.7997774545621,1.35777398360928,1.67132885972311
"GOA",1994,14190937,"Sockeye","Sockeye","GOA","1989-2021",0.449216985852892,16.4681140793734,0.304078447348637,0.191235426905555
"GOA",1995,15763246,"Sockeye","Sockeye","GOA","1989-2021",0.523935758006874,16.5731915856532,0.63790999949239,0.608210363635362
"GOA",1996,18608909,"Sockeye","Sockeye","GOA","1989-2021",0.580270764886626,16.7391510025045,1.16516356385425,1.36287763920228
"GOA",1997,16613298,"Sockeye","Sockeye","GOA","1989-2021",0.57151406691574,16.6257140169673,0.804773921074638,0.833643391696033
"GOA",1998,11457425,"Sockeye","Sockeye","GOA","1989-2021",0.568325211373048,16.2541485494134,-0.375690682131461,-0.533689504040059
"GOA",1999,17113818,"Sockeye","Sockeye","GOA","1989-2021",0.682906501412658,16.6553967653354,0.89907610153575,0.966380846822222
"GOA",2000,10892856,"Sockeye","Sockeye","GOA","1989-2021",0.748763306204083,16.2036177194784,-0.536227280167601,-0.683412696526149
"GOA",2001,11117551,"Sockeye","Sockeye","GOA","1989-2021",0.682982717381671,16.2240355887187,-0.471359648442502,-0.62382378403598
"GOA",2002,10044306,"Sockeye","Sockeye","GOA","1989-2021",0.574854818457337,16.1225164647454,-0.793886209341672,-0.908447395533836
"GOA",2003,14570916,"Sockeye","Sockeye","GOA","1989-2021",0.5667760318122,16.4945380451039,0.388027465610757,0.292005516934713
"GOA",2004,16064652,"Sockeye","Sockeye","GOA","1989-2021",0.696143021458452,16.5921318882993,0.698083397722619,0.68814296452996
"GOA",2005,15604250,"Sockeye","Sockeye","GOA","1989-2021",0.822844791274378,16.5630538710133,0.605702449720172,0.566044767025349
"GOA",2006,10612113,"Sockeye","Sockeye","GOA","1989-2021",0.891300712733983,16.1775066425057,-0.619182249908983,-0.757865488351633
"GOA",2007,14113644,"Sockeye","Sockeye","GOA","1989-2021",0.913361278112596,16.4626525470421,0.28672714277579,0.170737392623072
"GOA",2008,9280451,"Sockeye","Sockeye","GOA","1989-2021",0.838821700775669,16.0434207027194,-1.04517368217896,-1.11102105649726
"GOA",2009,9820910,"Sockeye","Sockeye","GOA","1989-2021",0.694123202706599,16.1000243440617,-0.865343744114527,-0.967691814388967
"GOA",2010,9737725,"Sockeye","Sockeye","GOA","1989-2021",0.511824640564591,16.091518075441,-0.892368184997362,-0.989752401787416
"GOA",2011,17062825,"Sockeye","Sockeye","GOA","1989-2021",0.522272934667037,16.6524126783471,0.889595648236985,0.952857548953506
"GOA",2012,13998335,"Sockeye","Sockeye","GOA","1989-2021",0.650746829642184,16.4544489519355,0.260664296553464,0.140157549233905
"GOA",2013,13416652,"Sockeye","Sockeye","GOA","1989-2021",0.716193996005986,16.4120071799924,0.125826659982984,-0.0141042607040933
"GOA",2014,12898917,"Sockeye","Sockeye","GOA","1989-2021",0.697748881367434,16.3726539123192,0.000801210727631542,-0.151407118391613
"GOA",2015,15682420,"Sockeye","Sockeye","GOA","1989-2021",0.757516686481072,16.5680508977125,0.621578018509129,0.586775380921326
"GOA",2016,12995266,"Sockeye","Sockeye","GOA","1989-2021",0.907560232248831,16.3800956952595,0.024443777416102,-0.125855449998835
"GOA",2017,10983339,"Sockeye","Sockeye","GOA","1989-2021",0.983304985999342,16.2118900461778,-0.509946073469342,-0.659416686072654
"GOA",2018,6275074,"Sockeye","Sockeye","GOA","1989-2021",0.994678429287017,15.6520958357413,-2.28841395653241,-1.90804434163029
"GOA",2019,9913645,"Sockeye","Sockeye","GOA","1989-2021",0.992966016094808,16.1094226489732,-0.835485301264045,-0.9430985755551
"GOA",2020,4870000,"Sockeye","Sockeye","GOA","1989-2021",0.993419875513918,15.3986044950588,-3.09375670505224,-2.28066870633894
"GOA",2021,12049338,"Sockeye","Sockeye","GOA","1989-2021",0.994120313195904,16.3045202786325,-0.215659547546054,-0.376714707276478
