"region","year","catch","species","species_fac","region_fac","era","annual_far_3","log_catch","log_catch_stnd","catch_stnd"
"GOA",1989,10901840,"Sockeye","Sockeye","GOA","1989-2021",0.326528825419697,16.2044421402925,0.0546962712778623,-0.107461443902236
"GOA",1990,14217147,"Sockeye","Sockeye","GOA","1989-2021",0.410701417439879,16.4699593292985,0.823283526031409,0.857598994311622
"GOA",1991,13880750,"Sockeye","Sockeye","GOA","1989-2021",0.450123123780386,16.4460135461653,0.753968150291685,0.759676407886345
"GOA",1992,19167242,"Sockeye","Sockeye","GOA","1989-2021",0.44568612977615,16.7687132340403,1.68808043184361,2.29853367996825
"GOA",1993,16082998,"Sockeye","Sockeye","GOA","1989-2021",0.433323983476329,16.5932732471229,1.1802378382111,1.40073390872581
"GOA",1994,12083704,"Sockeye","Sockeye","GOA","1989-2021",0.449216985852892,16.3073683259884,0.352634626238796,0.23657010121536
"GOA",1995,12747927,"Sockeye","Sockeye","GOA","1989-2021",0.523935758006874,16.3608792281145,0.507531555957137,0.429920321708281
"GOA",1996,17067175,"Sockeye","Sockeye","GOA","1989-2021",0.580270764886626,16.6526675860543,1.3521654338523,1.68722028446718
"GOA",1997,14331732,"Sockeye","Sockeye","GOA","1989-2021",0.57151406691574,16.4779866578182,0.846520072083632,0.890953808907295
"GOA",1998,9273649,"Sockeye","Sockeye","GOA","1989-2021",0.568325211373048,16.0426874954709,-0.41353163845724,-0.581415355246151
"GOA",1999,14121999,"Sockeye","Sockeye","GOA","1989-2021",0.682906501412658,16.4632443522469,0.803845817319887,0.829902141327819
"GOA",2000,8886369,"Sockeye","Sockeye","GOA","1989-2021",0.748763306204083,16.0000290876118,-0.537014071784294,-0.694149592682221
"GOA",2001,10503471,"Sockeye","Sockeye","GOA","1989-2021",0.682982717381671,16.1672163319296,-0.0530605257968741,-0.223423604182059
"GOA",2002,9007584,"Sockeye","Sockeye","GOA","1989-2021",0.574854818457337,16.0135774471229,-0.497795908613424,-0.658864835940811
"GOA",2003,13515698,"Sockeye","Sockeye","GOA","1989-2021",0.5667760318122,16.419362382678,0.676821564575848,0.653412570754265
"GOA",2004,13857969,"Sockeye","Sockeye","GOA","1989-2021",0.696143021458452,16.4443710041919,0.749213517151666,0.753045033524046
"GOA",2005,13265956,"Sockeye","Sockeye","GOA","1989-2021",0.822844791274378,16.4007116123126,0.622833555558983,0.58071459015687
"GOA",2006,8760873,"Sockeye","Sockeye","GOA","1989-2021",0.891300712733983,15.9858061154813,-0.578185022505328,-0.730680515686964
"GOA",2007,11663583,"Sockeye","Sockeye","GOA","1989-2021",0.913361278112596,16.2719819815627,0.250202488343107,0.114276100580474
"GOA",2008,7031307,"Sockeye","Sockeye","GOA","1989-2021",0.838821700775669,15.7658831640028,-1.21479155697103,-1.23414391195156
"GOA",2009,8095294,"Sockeye","Sockeye","GOA","1989-2021",0.694123202706599,15.9067934631496,-0.80690135448281,-0.924425457378922
"GOA",2010,8452843,"Sockeye","Sockeye","GOA","1989-2021",0.511824640564591,15.950013392451,-0.681793496356055,-0.820345685996385
"GOA",2011,15143590,"Sockeye","Sockeye","GOA","1989-2021",0.522272934667037,16.5330878980764,1.00602052153497,1.12727944549161
"GOA",2012,11980651,"Sockeye","Sockeye","GOA","1989-2021",0.650746829642184,16.2988034897428,0.32784216740747,0.206572163365486
"GOA",2013,11174347,"Sockeye","Sockeye","GOA","1989-2021",0.716193996005986,16.2291312627521,0.126163376381518,-0.028136746419818
"GOA",2014,11469584,"Sockeye","Sockeye","GOA","1989-2021",0.697748881367434,16.2552092199212,0.201650713322855,0.0578044797160859
"GOA",2015,12473429,"Sockeye","Sockeye","GOA","1989-2021",0.757516686481072,16.339111259808,0.444520256896375,0.350016059397482
"GOA",2016,10503915,"Sockeye","Sockeye","GOA","1989-2021",0.907560232248831,16.1672586027767,-0.0529381652280597,-0.223294359187683
"GOA",2017,7754985,"Sockeye","Sockeye","GOA","1989-2021",0.983304985999342,15.8638464203549,-0.931219293539499,-1.02348679699788
"GOA",2018,4944161,"Sockeye","Sockeye","GOA","1989-2021",0.994678429287017,15.4137178423144,-2.23419741475806,-1.84169610346091
"GOA",2019,8332645,"Sockeye","Sockeye","GOA","1989-2021",0.992966016094808,15.9356914907528,-0.723250816502713,-0.855334401838516
"GOA",2020,3801000,"Sockeye","Sockeye","GOA","1989-2021",0.993419875513918,15.1507747479714,-2.99533348957874,-2.17446150214315
"GOA",2021,7447787,"Sockeye","Sockeye","GOA","1989-2021",0.994120313195904,15.8234274992487,-1.0482191297062,-1.11290977848902
