Year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Total
1981,77.65,3481.18,1510.77,769.16,2785.91,1051.92,209.93,128.52,79.43,25.19,1.73,0,0,0,0,10121.37
1983,1.21,901.77,380.19,1296.79,1170.81,698.13,598.78,131.54,14.48,11.61,3.92,1.71,0,0,0,5210.93
1984,61.65,58.25,324.49,141.66,635.04,988.21,449.62,224.35,41.03,2.74,0,1.02,0,0,0,2928.07
1985,2091.74,544.44,122.69,314.77,180.53,347.17,439.31,166.68,42.72,5.56,1.77,1.29,0,0,0,4258.67
1986,575.36,2114.83,183.62,45.63,75.36,49.34,86.15,149.36,60.22,10.62,1.29,0,0,0,0,3351.78
1988,17.44,109.93,694.32,322.11,77.57,16.99,5.7,5.6,3.98,8.96,1.78,1.84,0.2,0,0,1266.41
1989,399.48,89.52,90.01,222.05,248.69,39.41,11.75,3.83,1.89,0.55,10.66,1.42,0,0,0,1119.25
1990,49.14,1210.17,71.69,63.37,115.92,180.06,46.33,22.44,8.2,8.21,0.93,3.08,1.51,0.79,0.24,1782.08
1991,21.98,173.65,549.90,48.11,64.87,69.6,116.32,23.65,29.43,2.23,4.29,0.92,4.38,0,0,1109.32
1992,228.03,33.69,73.54,188.1,367.99,84.11,84.99,171.18,32.7,56.35,2.3,14.67,0.9,0.3,0,1338.85
1993,63.29,76.08,37.05,72.39,232.79,126.19,26.77,35.63,38.72,16.12,7.77,2.6,2.19,0.49,1.51,739.61
1994,185.98,35.77,49.30,31.75,155.03,83.58,42.48,27.23,44.45,48.46,14.79,6.65,1.12,2.34,0.57,729.49
1995,10689.87,510.37,79.37,77.7,103.33,245.23,121.72,53.57,16.63,10.72,14.57,5.81,2.12,0.44,0,11931.45
1996,56.14,3307.21,118.94,25.12,53.99,71.03,201.05,118.52,39.8,13.01,11.32,5.32,2.52,0.03,0.38,4024.36
1997,70.37,183.14,1246.55,80.06,18.42,44.04,51.73,97.55,52.73,14.29,2.4,3.05,0.93,0.46,0,1865.72
1998,395.47,88.54,125.57,474.36,136.12,14.22,31.93,36.3,74.08,25.9,14.3,6.88,0.27,0.56,0.56,1425.05
2000,4484.41,755.03,216.52,15.83,67.19,131.64,16.82,12.61,9.87,7.84,13.87,6.88,1.88,1.06,0,5741.46
2001,288.93,4103.95,351.74,61.02,41.55,22.99,34.63,13.07,6.2,2.67,1.2,1.91,0.69,0.5,0.24,4931.27
2002,8.11,162.61,1107.17,96.58,16.25,16.14,7.7,6.79,1.46,0.66,0.35,0.34,0.15,0.13,0,1424.45
2003,51.19,89.58,207.69,802.46,56.58,7.69,4.14,1.58,1.46,0.85,0.28,0,0.1,0,0,1223.6
2004,52.58,93.94,57.58,159.62,356.33,48.78,2.67,3.42,3.32,0.52,0.42,0,0.66,0,0,779.84
2005,1626.13,157.49,55.54,34.63,172.74,162.4,36.02,3.61,2.39,0,0.76,0,0,0,0,2251.71
2006,161.69,835.96,40.75,11.54,17.42,55.98,74.97,32.25,6.9,0.83,0.75,0.53,0,0,0,1239.57
2007,53.54,231.73,174.88,29.66,10.14,17.27,34.39,20.85,1.54,1.05,0.69,0,0,0,0,575.74
2008,1778.16,359.21,230.18,49.03,11.16,2.03,3.73,9.82,6.19,1.87,0.5,0,0,0,0,2451.89
2009,814.12,1127.16,105.85,95.81,57.76,9.46,2.71,0.81,4.67,5.61,1.28,0.23,0,0,0,2225.45
2010,270.52,299.06,538.69,82.86,76.28,27.7,11.22,5.08,5.02,10.25,8.84,3.22,0,0,0,1338.73
2012,193.77,842.35,43.29,76.61,94.74,45.86,28.95,4.44,1.13,0.28,0.09,0.52,0,0,0,1332.04
2013,9178.41,117.1,687.95,51.34,64.42,104.03,58.73,42.83,10.46,4.94,4.46,0.49,1.42,3.99,2.02,10332.59
2014,1590.79,3492.94,17.39,279.93,82.8,57.66,98.47,54.64,25.65,17.63,7.33,0.7,2.33,0,0.66,5728.91
2015,19.82,103.95,1637.34,72.38,152.81,62.39,56.75,68.07,30.02,10.97,5.61,3.67,0.94,0.64,2.41,2227.76
2016,0.00,1.82,78.21,1451.78,43.43,33.52,15.48,3.63,7.37,1.69,0,0,0,0,0,1636.92
2017,744.72,0,9.40,126.4,2576.24,125.99,31.13,9.29,0.33,0.69,0,0,0,0,0,3624.17
2018,1819.56,142.6,1.57,9.91,166.4,1803.87,86.06,46.54,0,0,0,0,0,0,0,4076.52
2019,7361.19,1671.67,155.54,6.05,6.58,261.73,1127.49,53.86,11.09,9.01,0.07,0.07,0,0,0,10664.36
2020,17.07,79.98,343.50,71.73,15.44,26.8,68.15,191.69,116.13,36.98,7.99,2.73,0,0,0,978.19
2021,7730.11,36.69,94.22,150.67,55.39,7.32,12.51,64.01,133.92,63.4,14.26,2.23,0,0,0,8364.73
