"","year","shannon"
"1",1986,1.94791882249198
"2",1987,2.08801472615484
"3",1988,2.01456145587672
"4",1989,1.85940923260316
"5",1990,2.08818426856136
"6",1991,2.1117649916451
"7",1992,2.52500570821645
"8",1993,2.20250634307635
"9",1994,2.01799392583583
"10",1995,2.17923857950423
"11",1996,1.97535828142288
"12",1997,1.97846395342595
"13",1998,2.09082640855984
"14",1999,NA
"15",2000,1.87574051311518
"16",2001,NA
"17",2002,1.96700769903064
"18",2003,1.68522177965292
"19",2004,1.2998782811171
"20",2005,1.40651525192973
"21",2006,1.72852849063399
"22",2007,1.67979815114694
"23",2008,1.97710262969022
"24",2009,1.71958683682055
"25",2010,2.00129788834595
"26",2011,NA
"27",2012,1.67775191231425
"28",2013,2.10801918123473
"29",2014,1.72409225175589
"30",2015,2.0185861654614
"31",2016,1.03666954766721
"32",2017,0.590599203719841
"33",2018,0.548081312516314
"34",2019,0.961034420915518
"35",2020,1.70068173368987
